name,composition,size,opt_count,mod_count,pes_count,supply_reduction,wsi_increase,gap_change
Drought(Moderate)+Energy(Optimistic)+Cyber(Pessimistic),drought:Moderate|energy:Optimistic|cyber:Pessimistic,3,1,1,1,43.57878464426368,1.5682031348714294,-1183.9920000000002
Drought(Moderate)+Energy(Moderate)+Cyber(Optimistic),drought:Moderate|energy:Moderate|cyber:Optimistic,3,1,2,0,28.309363612941233,0.6592640579116213,-769.1371000000004
Drought(Moderate)+Energy(Moderate)+Cyber(Moderate),drought:Moderate|energy:Moderate|cyber:Moderate,3,0,3,0,33.07123928006183,0.8293119669458988,-898.5124999999999
Drought(Moderate)+Energy(Moderate)+Cyber(Pessimistic),drought:Moderate|energy:Moderate|cyber:Pessimistic,3,0,2,1,45.853215061283095,1.5682031348714294,-1245.7860000000003
Drought(Moderate)+Energy(Pessimistic)+Cyber(Optimistic),drought:Moderate|energy:Pessimistic|cyber:Optimistic,3,1,1,1,32.06217380102322,0.6592640579116213,-871.0972000000002
Drought(Moderate)+Energy(Pessimistic)+Cyber(Moderate),drought:Moderate|energy:Pessimistic|cyber:Moderate,3,0,2,1,36.67242077367589,0.8293119669458988,-996.353
Drought(Moderate)+Energy(Pessimistic)+Cyber(Pessimistic),drought:Moderate|energy:Pessimistic|cyber:Pessimistic,3,0,1,2,49.26486068681218,1.5682031348714294,-1338.477
Drought(Pessimistic)+Energy(Optimistic)+Cyber(Optimistic),drought:Pessimistic|energy:Optimistic|cyber:Optimistic,3,2,0,1,35.49805660863484,1.1415022863491087,-964.4466999999999
Drought(Pessimistic)+Energy(Optimistic)+Cyber(Moderate),drought:Pessimistic|energy:Optimistic|cyber:Moderate,3,1,1,1,39.85098825867717,1.369483248438893,-1082.7115000000003
Drought(Pessimistic)+Energy(Optimistic)+Cyber(Pessimistic),drought:Pessimistic|energy:Optimistic|cyber:Pessimistic,3,1,0,2,51.2292318451176,2.3951112153927463,-1391.847
Drought(Pessimistic)+Energy(Moderate)+Cyber(Optimistic),drought:Pessimistic|energy:Moderate|cyber:Optimistic,3,1,1,1,37.99993006735617,1.1415022863491087,-1032.4200999999998
Drought(Pessimistic)+Energy(Moderate)+Cyber(Moderate),drought:Pessimistic|energy:Moderate|cyber:Moderate,3,0,2,1,42.25177592108653,1.369483248438893,-1147.9385000000002
Drought(Pessimistic)+Energy(Moderate)+Cyber(Pessimistic),drought:Pessimistic|energy:Moderate|cyber:Pessimistic,3,0,1,2,53.50366226213699,2.3951112153927463,-1453.641
Drought(Pessimistic)+Energy(Pessimistic)+Cyber(Optimistic),drought:Pessimistic|energy:Pessimistic|cyber:Optimistic,3,1,0,2,41.752740255438184,1.1415022863491087,-1134.3802
Drought(Pessimistic)+Energy(Pessimistic)+Cyber(Moderate),drought:Pessimistic|energy:Pessimistic|cyber:Moderate,3,0,1,2,45.852957414700576,1.369483248438893,-1245.779
Drought(Pessimistic)+Energy(Pessimistic)+Cyber(Pessimistic),drought:Pessimistic|energy:Pessimistic|cyber:Pessimistic,3,0,0,3,56.915307887666096,2.3951112153927463,-1546.3320000000003
Drought(Optimistic)+Conflict(Optimistic)+Cyber(Optimistic),drought:Optimistic|conflict:Optimistic|cyber:Optimistic,3,3,0,0,27.63608892487763,0.5665426690769586,-659.2013082990499
Drought(Optimistic)+Conflict(Optimistic)+Cyber(Moderate),drought:Optimistic|conflict:Optimistic|cyber:Moderate,3,2,1,0,32.24609297360963,0.7197797147882963,-784.4505082990495
Drought(Optimistic)+Conflict(Optimistic)+Cyber(Pessimistic),drought:Optimistic|conflict:Optimistic|cyber:Pessimistic,3,2,0,1,44.572453899665064,1.3705730861168204,-1119.3454082990497
Drought(Optimistic)+Conflict(Moderate)+Cyber(Optimistic),drought:Optimistic|conflict:Moderate|cyber:Optimistic,3,2,1,0,40.406190879310984,0.8061586316854663,-806.2025536787943
Drought(Optimistic)+Conflict(Moderate)+Cyber(Moderate),drought:Optimistic|conflict:Moderate|cyber:Moderate,3,1,2,0,44.20266480179616,0.9783776928834282,-909.3489536787943
Drought(Optimistic)+Conflict(Moderate)+Cyber(Pessimistic),drought:Optimistic|conflict:Moderate|cyber:Pessimistic,3,1,1,1,54.353785564430055,1.7097871436711,-1185.1447536787946
Drought(Optimistic)+Conflict(Pessimistic)+Cyber(Optimistic),drought:Optimistic|conflict:Pessimistic|cyber:Optimistic,3,2,0,1,65.9463947881777,1.8840375332525074,-1139.0841439477772
Drought(Optimistic)+Conflict(Pessimistic)+Cyber(Moderate),drought:Optimistic|conflict:Pessimistic|cyber:Moderate,3,1,1,1,68.11580845816923,2.1416445368042076,-1198.024943947777
Drought(Optimistic)+Conflict(Pessimistic)+Cyber(Pessimistic),drought:Optimistic|conflict:Pessimistic|cyber:Pessimistic,3,1,0,2,73.91644889396002,3.2356941482477772,-1355.622543947777
Drought(Moderate)+Conflict(Optimistic)+Cyber(Optimistic),drought:Moderate|conflict:Optimistic|cyber:Optimistic,3,2,1,0,35.87307041113034,0.9382857819228148,-882.9918582990497
Drought(Moderate)+Conflict(Optimistic)+Cyber(Moderate),drought:Moderate|conflict:Optimistic|cyber:Moderate,3,1,2,0,40.04954911848062,1.131740285494751,-996.4626082990497
Drought(Moderate)+Conflict(Optimistic)+Cyber(Pessimistic),drought:Moderate|conflict:Optimistic|cyber:Pessimistic,3,1,1,1,51.07533402039089,1.9723376494759137,-1296.0221582990498
Drought(Moderate)+Conflict(Moderate)+Cyber(Optimistic),drought:Moderate|conflict:Moderate|cyber:Optimistic,3,1,2,0,47.18958739740146,1.223950880315227,-990.5006536787945
Drought(Moderate)+Conflict(Moderate)+Cyber(Moderate),drought:Moderate|conflict:Moderate|cyber:Moderate,3,0,3,0,50.62904045051346,1.4413692782947678,-1083.9471536787944
Drought(Moderate)+Conflict(Moderate)+Cyber(Pessimistic),drought:Moderate|conflict:Moderate|cyber:Pessimistic,3,0,2,1,59.7090986050278,2.3860944144281246,-1330.6432536787945
