name,supply_reduction,wsi_increase,gap_change,optimistic_count,moderate_count,pessimistic_count,total_pessimistic,total_moderate,total_optimistic
Energy(Moderate)+Conflict(Optimistic)+Cyber(Pessimistic),40.96947256063896,0.9525365925548439,-1021.4560082990496,1,1,1,1,1,1
Energy(Moderate)+Conflict(Moderate)+Cyber(Optimistic),36.249761492877916,0.504363648198018,-693.2765236787943,1,2,0,0,2,1
Energy(Moderate)+Conflict(Moderate)+Cyber(Moderate),40.29711619860871,0.6464066249218516,-803.2391036787944,0,3,0,0,3,0
Energy(Moderate)+Conflict(Moderate)+Cyber(Pessimistic),51.38662446170268,1.239966989324411,-1104.5299536787945,0,2,1,1,2,0
Energy(Moderate)+Conflict(Pessimistic)+Cyber(Optimistic),63.57129228164452,1.432609562142093,-1074.5549839477771,1,1,1,1,1,1
Energy(Moderate)+Conflict(Pessimistic)+Cyber(Moderate),65.88406639920497,1.6450788750907328,-1137.390743947777,0,2,1,1,2,0
Energy(Moderate)+Conflict(Pessimistic)+Cyber(Pessimistic),72.2209282638301,2.5329324369275206,-1309.5569439477772,0,1,2,2,1,0
Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Optimistic),25.778884758364317,0.2980115822249654,-608.7429282990497,2,0,1,1,0,2
Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Moderate),30.56464536788251,0.4243985568478552,-738.7672582990497,1,1,1,1,1,1
Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Pessimistic),43.86937134233869,0.9525365925548439,-1100.2433582990498,1,0,2,2,0,1
Energy(Pessimistic)+Conflict(Moderate)+Cyber(Optimistic),38.87672862453532,0.504363648198018,-764.6485936787944,1,1,1,1,1,1
Energy(Pessimistic)+Conflict(Moderate)+Cyber(Moderate),42.81794324413854,0.6464066249218516,-871.7274536787945,0,2,1,1,2,0
Energy(Pessimistic)+Conflict(Moderate)+Cyber(Pessimistic),53.77477639957306,1.239966989324411,-1169.4136536787946,0,1,2,2,1,0
